,RK18,C03
0.0,1.0,1.0
0.005,1.0,0.999842921
0.01,1.0,0.999685841
0.015,1.0,0.999528762
0.02,1.0,0.999371682
0.025,1.0,0.999214603
0.03,1.0,0.999057524
0.035,1.0,0.998900444
0.04,1.0,0.99869502
0.045,1.0,0.998449584
0.05,1.0,0.998204147
0.055,1.0,0.99795871
0.06,1.0,0.997713274
0.065,1.0,0.997467837
0.07,1.0,0.997222401
0.075,1.0,0.99696678
0.08,1.0,0.996613352
0.085,1.0,0.996259923
0.09,1.0,0.995906494
0.095,1.0,0.995553066
0.1,1.0,0.995199637
0.105,1.0,0.994846209
0.11,1.0,0.99449278
0.115,1.0,0.994164541
0.12,1.0,0.993850382
0.125,1.0,0.993536224
0.13,1.0,0.993222065
0.135,1.0,0.992907906
0.14,1.0,0.992593747
0.145,1.0,0.992279588
0.15,1.0,0.991969133
0.155,1.0,0.991674609
0.16,1.0,0.991380085
0.165,1.0,0.991085561
0.17,1.0,0.990791038
0.175,1.0,0.990496514
0.18,1.0,0.99020199
0.185,1.0,0.989907466
0.19,1.0,0.989620165
0.195,1.0,0.989335459
0.2,1.0,0.989050753
0.205,1.0,0.988766046
0.21,1.0,0.98848134
0.215,1.0,0.988196633
0.22,1.0,0.987911927
0.225,1.0,0.987627221
0.23,1.0,0.987342514
0.235,1.0,0.987057808
0.24,1.0,0.986773102
0.245,1.0,0.986488395
0.25,1.0,0.986203689
0.255,1.0,0.985918982
0.26,1.0,0.985634276
0.265,1.0,0.985365868
0.27,1.0,0.985100796
0.275,1.0,0.984835725
0.28,1.0,0.984570653
0.285,1.0,0.984305582
0.29,1.0,0.98404051
0.295,1.0,0.983775439
0.3,1.0,0.983510367
0.305,1.0,0.983245296
0.31,1.0,0.982980225
0.315,1.0,0.982715153
0.32,1.0,0.982450082
0.325,1.0,0.98218501
0.33,1.0,0.981919939
0.335,1.0,0.981654867
0.34,1.0,0.981407946
0.345,1.0,0.981162509
0.35,1.0,0.980917072
0.355,1.0,0.980671636
0.36,1.0,0.980426199
0.365,1.0,0.980180763
0.37,1.0,0.979935326
0.375,1.0,0.979680632
0.38,1.0,0.97941556
0.385,1.0,0.979150489
0.39,1.0,0.978885417
0.395,1.0,0.978620346
0.4,1.0,0.978355274
0.405,1.0,0.978090203
0.41,1.0,0.977823299
0.415,1.0,0.977460053
0.42,1.0,0.977096806
0.425,1.0,0.97673356
0.43,1.0,0.976370314
0.435,1.0,0.976007068
0.44,1.0,0.975643822
0.445,1.0,0.975280576
0.45,1.0,0.974900665
0.455,1.0,0.974507967
0.46,1.0,0.974115268
0.465,1.0,0.97372257
0.47,1.0,0.973329871
0.475,1.0,0.972937173
0.48,1.0,0.972544474
0.485,1.0,0.972150667
0.49,1.0,0.971748151
0.495,1.0,0.971345635
0.5,1.0,0.970943119
0.505,1.0,0.970540603
0.51,1.0,0.970138087
0.515,1.0,0.969735571
0.52,1.0,0.969333055
0.525,1.0,0.968924059
0.53,1.0,0.968511725
0.535,1.0,0.968099392
0.54,1.0,0.967687058
0.545,1.0,0.967274725
0.55,1.0,0.966862392
0.555,1.0,0.966450058
0.56,1.0,0.966025515
0.565,1.0,0.965554277
0.57,1.0,0.965083039
0.575,1.0,0.964611801
0.58,1.0,0.964140563
0.585,1.0,0.963669325
0.59,1.0,0.963198086
0.595,1.0,0.962726848
0.6,1.0,0.962240797
0.605,1.0,0.961749924
0.61,1.0,0.961259051
0.615,1.0,0.960768178
0.62,1.0,0.960277305
0.625,1.0,0.959786432
0.63,1.0,0.959295559
0.635,1.0,0.958804685
0.64,1.0,0.958313812
0.645,1.0,0.957822939
0.65,1.0,0.957332066
0.655,1.0,0.956841193
0.66,1.0,0.95635032
0.665,1.0,0.955859447
0.67,1.0,0.955368574
0.675,1.0,0.954927695
0.68,1.0,0.954495727
0.685,1.0,0.954063758
0.69,1.0,0.95363179
0.695,1.0,0.953199822
0.7,1.0,0.952767853
0.705,1.0,0.952335885
0.71,1.0,0.951903917
0.715,1.0,0.951471948
0.72,1.0,0.95103998
0.725,1.0,0.950608012
0.73,1.0,0.950176043
0.735,1.0,0.949744075
0.74,1.0,0.949312107
0.745,1.0,0.948880138
0.75,1.0,0.948429654
0.755,1.0,0.94797805
0.76,1.0,0.947526447
0.765,1.0,0.947074844
0.77,1.0,0.946623241
0.775,1.0,0.946171637
0.78,1.0,0.945720034
0.785,1.0,0.945292493
0.79,1.0,0.944889977
0.795,1.0,0.944487461
0.8,1.0,0.944084945
0.805,1.0,0.943682429
0.81,1.0,0.943279913
0.815,1.0,0.942877397
0.82,1.0,0.942477813
0.825,1.0,0.942153837
0.83,1.0,0.941829861
0.835,1.0,0.941505885
0.84,1.0,0.941181909
0.845,1.0,0.940857932
0.85,1.0,0.940533956
0.855,1.0,0.94020998
0.86,1.0,0.939903218
0.865,1.0,0.939608694
0.87,1.0,0.93931417
0.875,1.0,0.939019646
0.88,1.0,0.938725123
0.885,1.0,0.938430599
0.89,1.0,0.938136075
0.895,1.0,0.937838966
0.9,1.0,0.937524808
0.905,1.0,0.937210649
0.91,1.0,0.93689649
0.915,1.0,0.936582331
0.92,1.0,0.936268172
0.925,1.0,0.935954014
0.93,1.0,0.935639855
0.935,1.0,0.935372344
0.94,1.0,0.935126908
0.945,1.0,0.934881471
0.95,1.0,0.934636034
0.955,1.0,0.934390598
0.96,1.0,0.934145161
0.965,1.0,0.933899725
0.97,1.0,0.933656506
0.975,1.0,0.933420887
0.98,1.0,0.933185268
0.985,1.0,0.932949649
0.99,1.0,0.93271403
0.995,1.0,0.932478411
1.0,1.0,0.932242792
1.005,1.0,0.932007173
1.01,1.0,0.931779144
1.015,1.0,0.931553342
1.02,1.0,0.93132754
1.025,1.0,0.931101739
1.03,1.0,0.930875937
1.035,1.0,0.930650135
1.04,1.0,0.930424334
1.045,1.0,0.930160804
1.05,1.0,0.929817193
1.055,1.0,0.929473582
1.06,1.0,0.929129971
1.065,1.0,0.92878636
1.07,1.0,0.928442749
1.075,1.0,0.928099137
1.08,1.0,0.927755526
1.085,1.0,0.927275665
1.09,1.0,0.926774975
1.095,1.0,0.926274284
1.1,1.0,0.925773594
1.105,1.0,0.925272903
1.11,1.0,0.924772212
1.115,1.0,0.924271522
1.12,1.0,0.923783041
1.125,1.0,0.923311803
1.13,1.0,0.922840564
1.135,1.0,0.922369326
1.14,1.0,0.921898088
1.145,1.0,0.92142685
1.15,1.0,0.920955612
1.155,1.0,0.920484374
1.16,1.0,0.920032018
1.165,1.0,0.919580415
1.17,1.0,0.919128812
1.175,1.0,0.918677209
1.18,1.0,0.918225605
1.185,1.0,0.917774002
1.19,1.0,0.917322399
1.195,1.0,0.916895774
1.2,1.0,0.916493258
1.205,1.0,0.916090742
1.21,1.0,0.915688226
1.215,1.0,0.91528571
1.22,1.0,0.914883194
1.225,1.0,0.914480678
1.23,1.0,0.914079262
1.235,1.0,0.913696381
1.24,1.0,0.9133135
1.245,1.0,0.912930619
1.25,1.0,0.912547738
1.255,1.0,0.912164857
1.26,1.0,0.911781976
1.265,1.0,0.911399095
1.27,1.0,0.911010292
1.275,1.0,0.910617594
1.28,1.0,0.910224895
1.285,1.0,0.909832197
1.29,1.0,0.909439498
1.295,1.0,0.9090468
1.3,1.0,0.908654101
1.305,1.0,0.908264354
1.31,1.0,0.907891291
1.315,1.0,0.907518227
1.32,1.0,0.907145163
1.325,1.0,0.9067721
1.33,1.0,0.906399036
1.335,1.0,0.906025973
1.34,1.0,0.905652909
1.345,1.0,0.905266151
1.35,1.0,0.904873453
1.355,1.0,0.904480754
1.36,1.0,0.904088056
1.365,1.0,0.903695357
1.37,1.0,0.903302659
1.375,1.0,0.90290996
1.38,1.0,0.902519663
1.385,1.0,0.902136782
1.39,1.0,0.901753901
1.395,1.0,0.90137102
1.4,1.0,0.900988139
1.405,1.0,0.900605258
1.41,1.0,0.900222377
1.415,1.0,0.899839496
1.42,1.0,0.899464388
1.425,1.0,0.899091325
1.43,1.0,0.898718261
1.435,1.0,0.898345198
1.44,1.0,0.897972134
1.445,1.0,0.897599071
1.45,1.0,0.897226007
1.455,1.0,0.896856271
1.46,1.0,0.896493025
1.465,1.0,0.896129779
1.47,1.0,0.895766532
1.475,1.0,0.895403286
1.48,1.0,0.89504004
1.485,1.0,0.894676794
1.49,1.0,0.894313548
1.495,1.0,0.893932904
1.5,1.0,0.893550023
1.505,1.0,0.893167142
1.51,1.0,0.892784261
1.515,1.0,0.89240138
1.52,1.0,0.892018499
1.525,1.0,0.891635618
1.53,1.0,0.891235725
1.535,1.0,0.890813574
1.54,1.0,0.890391423
1.545,1.0,0.889969272
1.55,1.0,0.889547122
1.555,1.0,0.889124971
1.56,1.0,0.88870282
1.565,1.0,0.888280669
1.57,1.0,0.88780077
1.575,1.0,0.887319714
1.58,1.0,0.886838659
1.585,1.0,0.886357603
1.59,1.0,0.885876547
1.595,1.0,0.885395492
1.6,1.0,0.884914436
1.605,1.0,0.884438559
1.61,1.0,0.883967321
1.615,1.0,0.883496083
1.62,1.0,0.883024845
1.625,1.0,0.882553607
1.63,1.0,0.882082369
1.635,1.0,0.88161113
1.64,1.0,0.881139159
1.645,1.0,0.880658104
1.65,1.0,0.880177048
1.655,1.0,0.879695992
1.66,1.0,0.879214937
1.665,1.0,0.878733881
1.67,1.0,0.878252825
1.675,1.0,0.87777177
1.68,1.0,0.877333447
1.685,1.0,0.876921114
1.69,1.0,0.87650878
1.695,1.0,0.876096447
1.7,1.0,0.875684113
1.705,1.0,0.87527178
1.71,1.0,0.874859447
1.715,1.0,0.874448772
1.72,1.0,0.874046256
1.725,1.0,0.87364374
1.73,1.0,0.873241224
1.735,1.0,0.872838708
1.74,1.0,0.872436192
1.745,1.0,0.872033677
1.75,1.0,0.871631161
1.755,1.0,0.871186462
1.76,1.0,0.870725041
1.765,1.0,0.87026362
1.77,1.0,0.869802199
1.775,1.0,0.869340779
1.78,1.0,0.868879358
1.785,1.0,0.868417937
1.79,1.0,0.867928085
1.795,1.0,0.867358672
1.8,1.0,0.866789259
1.805,1.0,0.866219847
1.81,1.0,0.865650434
1.815,1.0,0.865081021
1.82,1.0,0.864511608
1.825,1.0,0.863942196
1.83,1.0,0.863380739
1.835,1.0,0.862821144
1.84,1.0,0.862261548
1.845,1.0,0.861701953
1.85,1.0,0.861142358
1.855,1.0,0.860582762
1.86,1.0,0.860023167
1.865,1.0,0.859456551
1.87,1.0,0.858877321
1.875,1.0,0.85829809
1.88,1.0,0.85771886
1.885,1.0,0.85713963
1.89,1.0,0.8565604
1.895,1.0,0.855981169
1.9,1.0,0.855401939
1.905,1.0,0.854858237
1.91,1.0,0.854318277
1.915,1.0,0.853778317
1.92,1.0,0.853238356
1.925,1.0,0.852698396
1.93,1.0,0.852158435
1.935,1.0,0.851618475
1.94,1.0,0.851069642
1.945,1.0,0.850510047
1.95,1.0,0.849950451
1.955,1.0,0.849390856
1.96,1.0,0.848831261
1.965,1.0,0.848271665
1.97,1.0,0.84771207
1.975,1.0,0.847152475
1.98,1.0,0.846622303
1.985,1.0,0.84609216
1.99,1.0,0.845562017
1.995,1.0,0.845031874
2.0,1.0,0.844501732
2.005,1.0,0.843971589
2.01,1.0,0.843441446
2.015,1.0,0.842900578
2.02,1.0,0.842350801
2.025,1.0,0.841801023
2.03,1.0,0.841251245
2.035,1.0,0.840701467
2.04,1.0,0.840151689
2.045,1.0,0.839601911
2.05,1.0,0.839050301
2.055,1.0,0.838480888
2.06,1.0,0.837911475
2.065,1.0,0.837342062
2.07,1.0,0.83677265
2.075,1.0,0.836203237
2.08,1.0,0.835633824
2.085,1.0,0.835064411
2.09,1.0,0.834501286
2.095,1.0,0.833941691
2.1,1.0,0.833382096
2.105,1.0,0.8328225
2.11,1.0,0.832262905
2.115,1.0,0.83170331
2.12,1.0,0.831143715
2.125,1.0,0.830585961
2.13,1.0,0.830036183
2.135,1.0,0.829486406
2.14,1.0,0.828936628
2.145,1.0,0.82838685
2.15,1.0,0.827837072
2.155,1.0,0.827287294
2.16,1.0,0.826737516
2.165,1.0,0.826158883
2.17,1.0,0.825569836
2.175,1.0,0.824980788
2.18,1.0,0.82439174
2.185,1.0,0.823802693
2.19,1.0,0.823213645
2.195,1.0,0.822624597
2.2,1.0,0.822035549
2.205,1.0,0.821446502
2.21,1.0,0.820857454
2.215,1.0,0.820268406
2.22,1.0,0.819679359
2.225,1.0,0.819090311
2.23,1.0,0.818501263
2.235,1.0,0.817912215
2.24,1.0,0.817298749
2.245,1.0,0.816680249
2.25,1.0,0.816061749
2.255,1.0,0.815443249
2.26,1.0,0.814824749
2.265,1.0,0.814206248
2.27,1.0,0.813587748
2.275,1.0,0.812969248
2.28,1.0,0.812350748
2.285,1.0,0.811732248
2.29,1.0,0.811113748
2.295,1.0,0.810495248
2.3,1.0,0.809876748
2.305,1.0,0.809258248
2.31,1.0,0.808639748
2.315,1.0,0.80807564
2.32,1.0,0.807516045
2.325,1.0,0.806956449
2.33,1.0,0.806396854
2.335,1.0,0.805837259
2.34,1.0,0.805277663
2.345,1.0,0.804718068
