,b0,b1,chgt,ZRMSE,1zscore_phanero,1zscore_latearc,1zscore_midarc
17464,-0.02,0.35,1.6,22.333065950251186,-0.5371494833489012,10.423597925999523,37.24724930682053
19720,-0.02,0.35,1.7,7.822338236607985,-0.5371494833489012,8.235196713832885,10.745228335438574
22729,-0.02,0.35,1.8,5.381669015650772,-0.5371494833489012,6.694383549384751,6.46403770938192
17463,-0.03,0.35,1.6,10.403935007948942,-0.5543730293389395,8.897463953283305,15.660568211059342
19719,-0.03,0.35,1.7,6.044171765762867,-0.5543730293389395,6.982062617024963,7.780713923440389
22728,-0.03,0.35,1.8,4.340044762271271,-0.5543730293389395,5.617427256024857,4.9643878961222905
26540,-0.03,0.35,1.9,3.339232597382471,-0.5543730293389395,4.62298839153921,3.431045306360778
31134,-0.03,0.35,2.0,2.6770061688451743,-0.5543730293389395,3.890869383982321,2.460262600869255
26539,-0.04,0.35,1.9,2.666312225443846,-0.571422990527543,3.756752908202688,2.62448966529898
31133,-0.04,0.35,2.0,2.101775932382812,-0.571422990527543,3.097095902558084,1.825885797656964
36466,-0.04,0.35,2.1,1.7079343789832977,-0.571422990527543,2.6107952661515013,1.26820478349384
42478,-0.04,0.35,2.2,1.4337500926634068,-0.571422990527543,2.2562628140794807,0.8658359338440995
227243,-0.04,0.35,1.5,29.977036372371128,-0.571422990527543,10.003527990047552,50.945765599602254
238704,-0.04,0.35,1.6,7.392446866217896,-0.571422990527543,7.564181440408316,10.31510770239668
249234,-0.04,0.35,1.7,4.809591762009065,-0.571422990527543,5.869162802847674,5.8841246172325565
258546,-0.04,0.35,1.8,3.495989060939583,-0.571422990527543,4.650095166374048,3.836132069179704
36465,-0.05,0.35,2.1,1.254488577703636,-0.5883022480495715,1.9295173734821864,0.8075196252332826
42477,-0.05,0.35,2.2,1.0240485681946334,-0.5883022480495715,1.6087136653232768,0.4603989769823612
226692,-0.05,0.35,1.5,10.935413648018338,-0.5883022480495715,8.53711572372759,16.897377623300613
238153,-0.05,0.35,1.6,5.703468655654573,-0.5883022480495715,6.385937400947852,7.51414453508966
248683,-0.05,0.35,1.7,3.854266517263883,-0.5883022480495715,4.872081034462144,4.5257969482598845
257995,-0.05,0.35,1.8,2.7848036281492083,-0.5883022480495715,3.7750319111432007,2.9442194681866565
266026,-0.05,0.35,1.9,2.079689150164952,-0.5883022480495715,2.9675918528618164,1.955152153595584
272790,-0.05,0.35,2.0,1.5929339927695132,-0.5883022480495715,2.3701155278860973,1.2840439888784565
42936,-0.06,0.35,1.4,2.9044661662758397e+32,-0.6050136157790392,10.067915540412775,5.030682968854549e+32
226141,-0.06,0.35,1.5,7.545426954223038,-0.6050136157790392,7.251150048069358,10.856112806601285
237602,-0.06,0.35,1.6,4.518527566183919,-0.6050136157790392,5.334665663120097,5.694433675664447
248132,-0.06,0.35,1.7,3.0710984957672496,-0.6050136157790392,3.972032123336832,3.485951412170552
257444,-0.06,0.35,1.8,2.171121858852859,-0.6050136157790392,2.9785394423032368,2.2144009784436003
265475,-0.06,0.35,1.9,1.5631358870225815,-0.6050136157790392,2.2448648370185667,1.3873434297725982
272239,-0.06,0.35,2.0,1.143494816931477,-0.6050136157790392,1.701245355981852,0.8139188857125815
277737,-0.06,0.35,2.1,0.8599673003577079,-0.6050136157790392,1.3004891367396687,0.4016438758373601
282082,-0.06,0.35,2.2,0.6817751759237257,-0.6050136157790392,1.0092365575866626,0.0992585868833411
213454,-0.07,0.35,1.4,14.058752081244323,-0.6215598423533101,8.606213933249437,22.770425453715
225590,-0.07,0.35,1.5,5.751317422726125,-0.6215598423533101,6.111088783148353,7.842270942635897
237051,-0.07,0.35,1.6,3.597846394201809,-0.6215598423533101,4.389015224296246,4.379920633080284
247581,-0.07,0.35,1.7,2.406932707742804,-0.6215598423533101,3.154283152972288,2.6540791872239318
256893,-0.07,0.35,1.8,1.6343317309508552,-0.6215598423533101,2.2496351163202526,1.6018507502794843
264924,-0.07,0.35,1.9,1.1086942223461056,-0.6215598423533101,1.5798973802819518,0.8973272904257737
271688,-0.07,0.35,2.0,0.757308959139601,-0.6215598423533101,1.083314443562372,0.4008038891056246
277186,-0.07,0.35,2.1,0.5485926643985516,-0.6215598423533101,0.7175565976091435,0.0404675906995157
281531,-0.07,0.35,2.2,0.4624722732152865,-0.6215598423533101,0.4523804483044885,-0.2250713283479312
212903,-0.08,0.35,1.4,8.596603747236742,-0.6379436131242404,7.323180553463461,12.94870041698637
225039,-0.08,0.35,1.5,4.524818830733149,-0.6379436131242404,5.091098068644984,5.924162789355574
236500,-0.08,0.35,1.6,2.841859506811073,-0.6379436131242404,3.5324016615648595,3.368035453674032
247030,-0.08,0.35,1.7,1.8322898715139917,-0.6379436131242404,2.4070865236823447,1.9674401982624807
256342,-0.08,0.35,1.8,1.1637127388709294,-0.6379436131242404,1.5793916776450596,1.0776047006629816
264373,-0.08,0.35,1.9,0.720832836444982,-0.6379436131242404,0.965534133827196,0.4685848025496673
271137,-0.08,0.35,2.0,0.4720774426353886,-0.6379436131242404,0.510339319309657,0.0339567544982078
276635,-0.08,0.35,2.1,0.4156292914317163,-0.6379436131242404,0.1755379758701849,-0.2836502938293553
280980,-0.08,0.35,2.2,0.4761385957686021,-0.6379436131242404,-0.066477613123257,-0.5183942134793877
42885,-0.09,0.35,1.3,238.78677747551643,-0.6541675520356027,9.188012663174916,413.48824382265167
212352,-0.09,0.35,1.4,6.331567858208407,-0.6541675520356027,6.184784057693635,9.032539266610238
