,b0,b1,chgt,ZRMSE,1zscore_phanero,1zscore_latearc,1zscore_midarc
694599,-0.02,0.35,1.5,1000000000000000.0,1000000000000000.0,1000000000000000.0,1000000000000000.0
696343,-0.02,0.35,1.6,1000000000000000.0,1000000000000000.0,1000000000000000.0,1000000000000000.0
698565,-0.02,0.35,1.7,10.584994326444791,-0.5312404859531995,9.459913964695296,15.6956722060335
701538,-0.02,0.35,1.8,6.698517141087862,-0.5312404859531995,7.7726439800400335,8.597335911430665
694598,-0.03,0.35,1.5,1000000000000000.0,1000000000000000.0,1000000000000000.0,1000000000000000.0
696342,-0.03,0.35,1.6,19.026969434716484,-0.5484812654778037,10.24881262652961,31.316732039863496
698564,-0.03,0.35,1.7,7.789693887906144,-0.5484812654778037,8.145038082240724,10.742230473328862
701537,-0.03,0.35,1.8,5.439436420389184,-0.5484812654778037,6.652286590441363,6.648959101575433
705315,-0.03,0.35,1.9,4.201706314612259,-0.5484812654778037,5.564966561768196,4.657609186114622
709873,-0.03,0.35,2.0,3.41141170983209,-0.5484812654778037,4.762543647265392,3.4540607799010195
436429,-0.04,0.35,1.6,10.348527971159983,-0.5655482274425935,8.838658297047024,15.583143720704117
446993,-0.04,0.35,1.7,6.155299411958021,-0.5655482274425935,6.980738786397732,8.038194682332042
456341,-0.04,0.35,1.8,4.4652087130068425,-0.5655482274425935,5.648008232736823,5.2530395731909625
693148,-0.04,0.35,1.4,1000000000000000.0,1000000000000000.0,1000000000000000.0,1000000000000000.0
705314,-0.04,0.35,1.9,3.462928891597713,-0.5655482274425935,4.670682764216688,3.720283220841149
709872,-0.04,0.35,2.0,2.79386917436383,-0.5655482274425935,3.9465036045820057,2.7426956433113503
715163,-0.04,0.35,2.1,2.3259998991378814,-0.5655482274425935,3.4093761509496714,2.070540039733704
424395,-0.05,0.35,1.5,27.402501400884507,-0.5824442580789038,9.964647879631348,46.4010538716269
435878,-0.05,0.35,1.6,7.576449371832607,-0.5824442580789038,7.597118010476758,10.684208528147916
446442,-0.05,0.35,1.7,4.989908768104018,-0.5824442580789038,5.940201319798733,6.250786791156486
455790,-0.05,0.35,1.8,3.6663901179088674,-0.5824442580789038,4.741100505189048,4.184492104906695
463855,-0.05,0.35,1.9,2.8255617396054933,-0.5824442580789038,3.856981373401276,2.9556472733453467
470655,-0.05,0.35,2.0,2.2482357914752167,-0.5824442580789038,3.1998025324105344,2.1414282528304858
693147,-0.05,0.35,1.4,1000000000000000.0,1000000000000000.0,1000000000000000.0,1000000000000000.0
715162,-0.05,0.35,2.1,1.839833060589301,-0.5824442580789038,2.7116528111366787,1.5692848022579096
423844,-0.06,0.35,1.5,11.312175005353607,-0.5991721762108657,8.596732586994786,17.59639427798199
435327,-0.06,0.35,1.6,5.9587497868303485,-0.5991721762108657,6.4928365581965135,8.000260195640749
445891,-0.06,0.35,1.7,4.076999819504571,-0.5991721762108657,5.002925892289684,4.947474891723363
455239,-0.06,0.35,1.8,2.9882493301556257,-0.5991721762108657,3.916863794547547,3.3298758078558968
463304,-0.06,0.35,1.9,2.266305668942704,-0.5991721762108657,3.112586160903988,2.3154317630734047
470104,-0.06,0.35,2.0,1.7619548023303,-0.5991721762108657,2.513326552894893,1.6240802068040328
475644,-0.06,0.35,2.1,1.4038147744145475,-0.5991721762108657,2.0678049488027384,1.1301606786450056
479998,-0.06,0.35,2.2,1.151242107157093,-0.5991721762108657,1.7401758239734952,0.767369515153823
