,Beta = -0.1 to 0.3 at 1.7Ga,Beta = -0.1,Beta = 0.05
0.0,1616.972839,1616.972839,1614.402703
0.005,1617.589502,1617.589502,1615.020211
0.01,1618.205239,1618.205239,1615.6382
0.015,1618.820052,1618.820052,1616.256671
0.02,1619.433941,1619.433941,1616.875624
0.025,1620.046907,1620.046907,1617.495058
0.03,1620.658953,1620.658953,1618.114975
0.035,1621.270078,1621.270078,1618.735374
0.04,1621.880282,1621.880282,1619.356253
0.045,1622.489554,1622.489554,1619.977601
0.05,1623.097895,1623.097895,1620.599416
0.055,1623.705305,1623.705305,1621.221701
0.06,1624.311787,1624.311787,1621.844454
0.065,1624.91734,1624.91734,1622.467675
0.07,1625.521967,1625.521967,1623.091366
0.075,1626.125668,1626.125668,1623.715525
0.08,1626.728432,1626.728432,1624.340141
0.085,1627.330254,1627.330254,1624.965209
0.09,1627.931135,1627.931135,1625.590727
0.095,1628.531077,1628.531077,1626.216697
0.1,1629.13008,1629.13008,1626.843119
0.105,1629.728145,1629.728145,1627.469992
0.11,1630.325274,1630.325274,1628.097317
0.115,1630.921469,1630.921469,1628.725095
0.12,1631.516737,1631.516737,1629.353333
0.125,1632.111077,1632.111077,1629.982029
0.13,1632.704492,1632.704492,1630.611184
0.135,1633.296983,1633.296983,1631.240798
0.14,1633.888549,1633.888549,1631.870872
0.145,1634.479193,1634.479193,1632.501405
0.15,1635.068915,1635.068915,1633.132398
0.155,1635.657719,1635.657719,1633.763853
0.16,1636.245606,1636.245606,1634.395771
0.165,1636.832578,1636.832578,1635.028152
0.17,1637.418635,1637.418635,1635.660997
0.175,1638.003779,1638.003779,1636.294306
0.18,1638.58801,1638.58801,1636.928079
0.185,1639.171329,1639.171329,1637.562315
0.19,1639.753737,1639.753737,1638.197016
0.195,1640.335238,1640.335238,1638.832183
0.2,1640.915831,1640.915831,1639.467816
0.205,1641.495517,1641.495517,1640.103914
0.21,1642.074298,1642.074298,1640.74048
0.215,1642.652174,1642.652174,1641.377511
0.22,1643.229146,1643.229146,1642.015009
0.225,1643.805215,1643.805215,1642.652974
0.23,1644.380381,1644.380381,1643.291406
0.235,1644.954646,1644.954646,1643.930304
0.24,1645.528011,1645.528011,1644.569669
0.245,1646.100476,1646.100476,1645.209502
0.25,1646.672042,1646.672042,1645.849802
0.255,1647.24271,1647.24271,1646.490569
0.26,1647.81248,1647.81248,1647.131803
0.265,1648.381355,1648.381355,1647.773507
0.27,1648.949338,1648.949338,1648.415682
0.275,1649.516429,1649.516429,1649.058328
0.28,1650.082629,1650.082629,1649.701445
