Depth(m),Radius(m),Pressure(Pa),Density(g/m^3),Vp(m/s),Vs(m/s),Qk,Qmu   ,Pressure(GPa),Depth(km)
0.00E+00,6.37E+06,0.00E+00,2.60E+03,5.80E+03,3.20E+03,1.00E+05,3.00E+02,0.00E+00,0.00E+00
3.00E+03,6.37E+06,2.99E+07,2.60E+03,5.80E+03,3.20E+03,1.00E+05,3.00E+02,2.99E-02,3.00E+00
3.00E+03,6.37E+06,3.03E+07,2.60E+03,5.80E+03,3.20E+03,1.00E+05,3.00E+02,3.03E-02,3.00E+00
1.50E+04,6.36E+06,3.36E+08,2.60E+03,5.80E+03,3.20E+03,1.00E+05,3.00E+02,3.36E-01,1.50E+01
1.50E+04,6.36E+06,3.37E+08,2.90E+03,6.80E+03,3.90E+03,1.00E+05,3.00E+02,3.37E-01,1.50E+01
2.44E+04,6.35E+06,6.04E+08,2.90E+03,6.80E+03,3.90E+03,1.00E+05,1.91E+02,6.04E-01,2.44E+01
2.44E+04,6.35E+06,6.04E+08,3.38E+03,8.11E+03,4.49E+03,1.00E+05,1.91E+02,6.04E-01,2.44E+01
4.00E+04,6.33E+06,1.12E+09,3.38E+03,8.10E+03,4.48E+03,1.00E+05,1.91E+02,1.12E+00,4.00E+01
6.00E+04,6.31E+06,1.79E+09,3.38E+03,8.09E+03,4.48E+03,1.00E+05,1.91E+02,1.79E+00,6.00E+01
8.00E+04,6.29E+06,2.45E+09,3.37E+03,8.08E+03,4.47E+03,1.00E+05,1.91E+02,2.45E+00,8.00E+01
8.00E+04,6.29E+06,2.45E+09,3.37E+03,8.08E+03,4.47E+03,1.00E+05,1.91E+02,2.45E+00,8.00E+01
1.15E+05,6.26E+06,3.62E+09,3.37E+03,8.06E+03,4.46E+03,1.00E+05,7.00E+01,3.62E+00,1.15E+02
1.50E+05,6.22E+06,4.78E+09,3.37E+03,8.03E+03,4.44E+03,1.00E+05,7.00E+01,4.78E+00,1.50E+02
1.85E+05,6.19E+06,5.95E+09,3.36E+03,8.01E+03,4.43E+03,1.00E+05,7.00E+01,5.95E+00,1.85E+02
