gridID,UpperLower,T(K),P(bar),P,"rho,kg/m3","v0,km/s","vp,km/s","vs,km/s","alpha,1/K","cp,J/K/kg","C2/c,wt%","Wus,wt%","Pv,wt%","Sp,wt%","O,wt%","Wad,wt%","Ring,wt%","Opx,wt%","Cpx,wt%","Aki,wt%","Gt_maj,wt%","Ppv,wt%","CF,wt%","st,wt%","ca-pv,wt%"
0,Upper,1400,1000,0.1,3110.793,5.636537,7.536396,4.33244,3.72E-05,1252.105,0,0,0,0,62.11181,0,0,20.4135,6.001788,0,0,0,0,0,0
1,Upper,1432.653,1000,0.1,3104.383,5.622347,7.508605,4.310019,3.77E-05,1254.97,0,0,0,0,61.97674,0,0,20.70669,6.041703,0,0,0,0,0,0
2,Upper,1465.306,1000,0.1,3103.314,5.602117,7.489396,4.304707,3.83E-05,1258.905,0,0,0,0,61.88605,0,0,20.90204,6.149769,0,0,0,0,0,0
3,Upper,1497.959,1000,0.1,3100.65,5.583053,7.467566,4.294828,3.89E-05,1262.578,0,0,0,0,61.78814,0,0,21.14535,6.203477,0,0,0,0,0,0
4,Upper,1530.612,1000,0.1,3097.55,5.565013,7.444643,4.282523,3.95E-05,1266.113,0,0,0,0,61.63219,0,0,21.26348,6.529376,0,0,0,0,0,0
5,Upper,1563.265,1000,0.1,3093.486,5.545262,7.4182,4.267297,4.01E-05,1269.739,0,0,0,0,61.46647,0,0,21.73719,6.518275,0,0,0,0,0,0
6,Upper,1595.918,1000,0.1,3091.114,5.525198,7.395774,4.25761,4.08E-05,1273.649,0,0,0,0,61.30218,0,0,21.86958,6.873223,0,0,0,0,0,0
7,Upper,1628.571,1000,0.1,3090.991,5.501104,7.375936,4.255198,4.16E-05,1278.001,0,0,0,0,61.10634,0,0,22.16915,7.17389,0,0,0,0,0,0
8,Upper,1661.224,1000,0.1,3089.351,5.47765,7.352839,4.247904,4.24E-05,1282.386,0,0,0,0,60.89419,0,0,22.49835,7.485674,0,0,0,0,0,0
9,Upper,1693.878,1000,0.1,3088.366,5.454328,7.330955,4.24204,4.33E-05,1286.878,0,0,0,0,60.64127,0,0,22.62139,8.116188,0,0,0,0,0,0
10,Upper,1726.531,1000,0.1,3083.66,5.432075,7.30105,4.224739,4.41E-05,1291.015,0,0,0,0,60.34378,0,0,23.15611,8.403121,0,0,0,0,0,0
11,Upper,1759.184,1000,0.1,3082.947,5.406494,7.27796,4.219465,4.52E-05,1295.982,0,0,0,0,59.96937,0,0,23.39351,9.268386,0,0,0,0,0,0
12,Upper,1791.837,1000,0.1,3086.969,5.376228,7.262013,4.227854,4.65E-05,1302.129,0,0,0,0,59.39857,0,0,23.42947,10.97118,0,0,0,0,0,0
13,Upper,1824.49,1000,0.1,3083.996,5.351359,7.234188,4.215724,4.75E-05,1307.018,0,0,0,0,58.97967,0,0,23.7286,11.85405,0,0,0,0,0,0
14,Upper,1857.143,1000,0.1,3086.847,5.321506,7.21551,4.220056,4.90E-05,1313.319,0,0,0,0,58.25054,0,0,23.74318,13.99189,0,0,0,0,0,0
15,Upper,1889.796,1000,0.1,3090.634,5.29015,7.197859,4.22701,5.06E-05,1320.106,0,0,0,0,57.42109,0,0,23.68664,16.49619,0,0,0,0,0,0
16,Upper,1922.449,1000,0.1,3098.353,5.254416,7.185396,4.244499,5.25E-05,1327.951,0,0,0,0,56.20316,0,0,23.59853,20.17877,0,0,0,0,0,0
17,Upper,1955.102,1000,0.1,3092.785,5.225427,7.156408,4.234597,5.39E-05,1335.942,0,0,0,0,56.25184,0,0,23.51646,20.2317,0,0,0,0,0,0
