PressureGPa,TemperatureK
0.11576809,1363.211071
0.186747551,1376.333035
0.279181934,1385.775742
0.368428924,1398.570233
0.452776886,1409.02878
0.533396479,1420.111879
0.617399694,1431.158878
0.701837035,1442.205876
0.784193128,1452.639152
0.868324028,1464.299872
0.951739897,1474.083325
1.035245146,1485.166424
1.1225043,1496.213423
1.210197579,1507.260421
1.296256505,1517.693697
1.400054975,1529.649913
1.51415464,1543.617319
1.621053615,1555.744468
1.722999557,1567.688445
1.824885389,1579.868469
1.924066287,1590.868258
2.017959764,1601.569054
2.11160835,1612.678998
2.199894377,1622.64018
2.281855231,1631.734426
2.36513326,1641.460991
2.452392414,1651.280545
2.542197712,1661.255576
2.631164676,1671.177594
2.718890987,1680.739207
2.809243282,1690.558761
2.896517236,1699.913374
2.980875645,1709.342378
3.061611082,1717.153386
3.145716222,1726.412585
3.235750002,1735.431632
3.327142783,1745.464655
3.415429276,1754.181288
3.50008368,1762.773398
3.585854405,1771.365507
3.672555398,1779.957617
3.757665632,1787.976919
3.841864204,1796.569029
3.928379143,1804.91565
4.018801209,1813.50776
4.111811112,1822.267248
4.201319824,1831.079593
4.287276602,1838.302133
4.371931005,1846.44418
4.455488671,1854.401034
4.539720374,1860.832554
4.626805878,1869.663334
4.714672807,1877.130286
4.799761335,1884.494952
4.885501051,1891.859617
4.971891955,1899.224283
5.059151109,1906.588948
5.146844388,1913.953614
5.233950321,1920.728624
5.320136931,1928.09329
5.41088387,1935.412354
5.504563507,1943.003127
5.597466288,1950.367793
5.689446553,1957.732458
5.771705515,1962.992934
5.852813271,1970.006901
5.938612041,1977.696478
6.020738304,1982.895065
6.104991976,1987.710423
6.187181884,1993.942063
6.270432616,2001.033964
6.360539894,2008.78298
6.463269196,2012.353727
6.572126851,2020.478239
6.665812517,2028.382705
6.758573058,2034.018118
6.840138089,2037.871647
6.938583812,2044.83379
7.052648379,2052.539184
7.164375997,2058.335677
7.272618376,2064.119854
7.365642496,2069.166861
7.459655532,2075.113485
7.55133104,2080.12157
7.636300755,2085.031347
7.723080087,2088.972089
7.810681971,2093.881866
7.902149854,2098.888546
7.997483736,2103.798323
8.094771181,2108.7081
8.190084499,2113.068757
8.28611755,2118.172341
8.385656734,2122.946453
8.490172362,2127.85623
8.588562996,2132.137845
8.675500386,2136.325596
8.758331464,2140.007928
8.843246342,2143.690261
8.929724071,2147.372594
9.0172437,2151.054927
9.103367927,2154.123537
9.196925544,2158.275187
9.299779894,2161.514886
9.352475136,2160.383503
